Variety,Quantity,Usage,Period
Rath Kesel,3894,Textile industry- make banana fibers,January-December
Kolikuttu,3967,Give CBL to make Waffers Biscuits,January-December
Ambul Nadee,3900,Banana chips ( both sweetened and unsweetened),January-December
Kandula,2398,Export to USA as fresh banana,January-December
Ambul Nadee,1588,Banana chips ( both sweetened and unsweetened),November-January
Rath Kesel,3269,Give CBL to make Waffers Biscuits,November-January
Suwandal,2140,Make natural remedies,January-December
Anamalu,4866,Make banana oils are used in cosmatic industry,November-January
Nethra Palam,3776,"Beverage industry - To make milkshakes,smoothies, fruit juices",November-January
Anamalu,1781,Banana chips ( both sweetened and unsweetened),January-December
Sini Kesel,2813,"Skincare industry- Make skincare products ( Lotions, creams and face masks",January-December
Suwandal,1941,Textile industry- make banana fibers,January-December
Suwandal,2308,Make jam and sugary products to the local market,January-December
Sini Kesel,941,cosmetic industry- Make haircare treatments with banana extracts,January-December
Suwandal,1890,Make breakfast cereals,January-December
Green Banana,709,Bakery industry- Banana breads and banana cakes,January-December
Kolikuttu,1464,Export to USA as fresh banana,November-January
Nethra Palam,2775,Make natural remedies,January-December
Seeni Parakum,912,Make innorganic fertilizers,January-December
Nethra Palam,1507,Make banana oils are used in cosmatic industry,November-January
Seeni Parakum,1046,Give CBL to make Waffers Biscuits,November-January
Anamalu,970,"Skincare industry- Make skincare products ( Lotions, creams and face masks",November-January
Suwandal,2264,Make innorganic fertilizers,January-December
Anamalu,3028,Give CBL to make Waffers Biscuits,January-December
Sini Kesel,4609,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,January-December
Green Banana,2390,Make innorganic fertilizers,January-December
Ambum,890,Make bioplastics,January-December
Anamalu,687,"Traditional alcoholic beverages- Banana liqueurs, wine",November-January
Puwalu,1780,"Beverage industry - To make milkshakes,smoothies, fruit juices",January-December
Green Banana,2921,"Beverage industry - To make milkshakes,smoothies, fruit juices",January-December
Sini Kesel,2311,"Beverage industry - To make milkshakes,smoothies, fruit juices",January-December
Ambum,1078,Banana candies,November-January
Puwalu,956,Make banana oils are used in cosmatic industry,January-December
Ambul Nadee,1270,dehydrated banana chips,November-January
Anamalu,4290,Make innorganic fertilizers,November-January
Ambum,438,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,January-December
Sini Kesel,4984,Make single use plastic alternatives,November-January
Kandula,486,Banana chocolates and sweets,January-December
Seeni Parakum,1572,Banana candies,January-December
Ambul Nadee,1419,Give CBL to make Waffers Biscuits,November-January
Puwalu,3740,"Skincare industry- Make skincare products ( Lotions, creams and face masks",November-January
Kolikuttu,3772,Make jam and sugary products to the local market,January-December
Puwalu,1493,Banana flavored craft beers,November-January
Puwalu,3216,make dried and powdered banana peels to use as a supplement in animal feed.,January-December
Puwalu,3596,"Skincare industry- Make skincare products ( Lotions, creams and face masks",November-January
Sini Kesel,3741,cosmetic industry- Make haircare treatments with banana extracts,January-December
Ambul Nadee,2438,Make natural remedies,January-December
Seeni Parakum,116,Textile industry- make banana fibers,January-December
Suwandal,750,"Beverage industry - To make milkshakes,smoothies, fruit juices",January-December
Sini Kesel,3424,"Beverage industry - To make milkshakes,smoothies, fruit juices",November-January
Rath Kesel,144,Make banana oils are used in cosmatic industry,January-December
Anamalu,3338,make dried and powdered banana peels to use as a supplement in animal feed.,November-January
Ambul Nadee,3228,Banana flavored craft beers,January-December
Green Banana,1016,Export to USA as fresh banana,January-December
Seeni Parakum,4245,Make tea bags and filters,January-December
Kolikuttu,3160,make banana silk which is eco friendly and biodegradable,January-December
Ambul Nadee,2282,Make tea bags and filters,November-January
Anamalu,3131,Make single use plastic alternatives,January-December
Seeni Parakum,4508,"Skincare industry- Make skincare products ( Lotions, creams and face masks",January-December
Sini Kesel,4486,Make breakfast cereals,November-January
Ambul Kesel,2528,Make tea bags and filters,November-January
Green Banana,747,Banana flavored craft beers,January-December
Puwalu,1349,Brewing and distilling industry- Make banana beer,January-December
Seeni Parakum,2922,Make bioplastics,January-December
Nethra Palam,2908,Banana flavored craft beers,November-January
Rath Kesel,4836,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",January-December
Kolikuttu,1199,Make banana oils are used in cosmatic industry,January-December
Puwalu,4134,cosmetic industry- Make haircare treatments with banana extracts,January-December
Puwalu,2702,"Traditional alcoholic beverages- Banana liqueurs, wine",November-January
Kolikuttu,1492,Banana chocolates and sweets,January-December
Ambul Nadee,3042,Make breakfast cereals,November-January
Kolikuttu,2652,Make breakfast cereals,November-January
Sini Kesel,4184,make banana silk which is eco friendly and biodegradable,January-December
Kandula,2038,Make natural remedies,January-December
Rath Kesel,2208,Make tea bags and filters,January-December
Kolikuttu,4583,"Beverage industry - To make milkshakes,smoothies, fruit juices",November-January
Ambul Nadee,1344,Make banana oils are used in cosmatic industry,November-January
Kolikuttu,356,Textile industry- make banana fibers,November-January
Anamalu,3062,make banana silk which is eco friendly and biodegradable,November-January
Kolikuttu,730,Make breakfast cereals,January-December
Ambum,452,"Skincare industry- Make skincare products ( Lotions, creams and face masks",January-December
Puwalu,257,Make breakfast cereals,November-January
Seeni Parakum,1943,Banana chocolates and sweets,January-December
Sini Kesel,2177,Make jam and sugary products to the local market,January-December
Kandula,3903,Make single use plastic alternatives,November-January
Ambul Kesel,2864,"Beverage industry - To make milkshakes,smoothies, fruit juices",January-December
Ambul Kesel,2854,Banana chips ( both sweetened and unsweetened),November-January
Rath Kesel,1456,dehydrated banana chips,November-January
Sini Kesel,4183,Make organic fertilizers,January-December
Puwalu,2567,Food industry-desserts varieties,November-January
Kolikuttu,2008,Make organic fertilizers,January-December
Suwandal,3954,Banana flavored craft beers,November-January
Suwandal,50,Give CBL to make Waffers Biscuits,November-January
Ambul Kesel,1048,Make high quality acid free paper from banana stems and leaves,January-December
Sini Kesel,3123,Make breakfast cereals,November-January
Kandula,4194,Make banana oils are used in cosmatic industry,January-December
Seeni Parakum,132,Bakery industry- Banana breads and banana cakes,November-January
Kandula,2024,Make jam and sugary products to the local market,November-January
Kolikuttu,1318,Export to USA as fresh banana,January-December
Ambul Kesel,4695,Banana candies,January-December
Green Banana,3669,Make jam and sugary products to the local market,November-January
Ambul Nadee,180,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,January-December
Ambul Nadee,982,Give CBL to make Waffers Biscuits,January-December
Ambul Kesel,460,dehydrated banana chips,January-December
Seeni Parakum,265,dehydrated banana chips,November-January
Rath Kesel,1759,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",November-January
Sini Kesel,510,Make breakfast cereals,January-December
Nethra Palam,800,Make single use plastic alternatives,November-January
Ambul Nadee,889,dehydrated banana chips,January-December
Ambul Nadee,3195,Banana flavored craft beers,January-December
Rath Kesel,4908,"Traditional alcoholic beverages- Banana liqueurs, wine",January-December
Nethra Palam,2279,Make jam and sugary products to the local market,January-December
Puwalu,896,"Skincare industry- Make skincare products ( Lotions, creams and face masks",November-January
Suwandal,2274,Brewing and distilling industry- Make banana beer,November-January
Ambul Nadee,2553,Export to USA as fresh banana,January-December
Ambum,887,Banana chips ( both sweetened and unsweetened),November-January
Seeni Parakum,3433,Make breakfast cereals,January-December
Kolikuttu,283,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",November-January
Anamalu,4546,Make high quality acid free paper from banana stems and leaves,January-December
Ambul Nadee,1157,Banana candies,January-December
Kolikuttu,2227,make banana silk which is eco friendly and biodegradable,January-December
Puwalu,1466,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,November-January
Green Banana,1594,Make tea bags and filters,January-December
Ambul Kesel,3735,"Beverage industry - To make milkshakes,smoothies, fruit juices",January-December
Suwandal,958,"Beverage industry - To make milkshakes,smoothies, fruit juices",November-January
Sini Kesel,2748,Export to USA as fresh banana,November-January
Suwandal,1993,cosmetic industry- Make haircare treatments with banana extracts,November-January
Kolikuttu,3312,Bakery industry- Banana breads and banana cakes,November-January
Puwalu,1030,Bakery industry- Banana breads and banana cakes,November-January
Kolikuttu,3286,Make high quality acid free paper from banana stems and leaves,January-December
Rath Kesel,4192,Make natural remedies,January-December
Ambul Nadee,727,"Skincare industry- Make skincare products ( Lotions, creams and face masks",January-December
Green Banana,4053,Make breakfast cereals,January-December
Rath Kesel,3011,Textile industry- make banana fibers,January-December
Ambul Nadee,3984,Make banana oils are used in cosmatic industry,November-January
Puwalu,4419,Make organic fertilizers,November-January
Ambul Nadee,2335,Make organic fertilizers,November-January
Ambum,964,Make banana oils are used in cosmatic industry,January-December
Ambum,1410,Make innorganic fertilizers,November-January
Ambul Nadee,1958,dehydrated banana chips,January-December
Puwalu,4066,"Traditional alcoholic beverages- Banana liqueurs, wine",January-December
Puwalu,3437,Make bioplastics,January-December
Ambul Kesel,2488,Banana chips ( both sweetened and unsweetened),January-December
Ambul Nadee,1060,make banana silk which is eco friendly and biodegradable,November-January
Kandula,1787,Make natural remedies,January-December
Puwalu,2457,Export to USA as fresh banana,January-December
Ambul Nadee,1846,Make bioplastics,January-December
Ambul Nadee,2577,Give CBL to make Waffers Biscuits,November-January
Kandula,368,Make innorganic fertilizers,January-December
Suwandal,105,Make tea bags and filters,November-January
Green Banana,72,Export to USA as fresh banana,January-December
Seeni Parakum,98,Banana chips ( both sweetened and unsweetened),November-January
Kolikuttu,2763,Make breakfast cereals,January-December
Rath Kesel,1791,Food industry-desserts varieties,November-January
Ambul Nadee,3805,dehydrated banana chips,November-January
Nethra Palam,1904,Make tea bags and filters,November-January
Puwalu,2790,Export to USA as fresh banana,January-December
Sini Kesel,4326,Make organic fertilizers,November-January
Suwandal,4828,Food industry-desserts varieties,January-December
Ambum,1368,Make tea bags and filters,November-January
Ambum,2699,Give CBL to make Waffers Biscuits,November-January
Rath Kesel,2661,"Skincare industry- Make skincare products ( Lotions, creams and face masks",January-December
Ambul Kesel,3843,Make natural remedies,January-December
Sini Kesel,4163,"Traditional alcoholic beverages- Banana liqueurs, wine",January-December
Seeni Parakum,3496,Make banana oils are used in cosmatic industry,November-January
Ambul Kesel,1076,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",November-January
Suwandal,3799,Make breakfast cereals,November-January
Ambum,2242,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",January-December
Rath Kesel,4264,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,November-January
Kolikuttu,4204,Export to USA as fresh banana,November-January
Anamalu,2964,"Skincare industry- Make skincare products ( Lotions, creams and face masks",January-December
Kolikuttu,4499,"Skincare industry- Make skincare products ( Lotions, creams and face masks",January-December
Green Banana,4668,Make high quality acid free paper from banana stems and leaves,November-January
Suwandal,2493,Make banana oils are used in cosmatic industry,November-January
Ambum,4350,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,January-December
Ambul Nadee,3897,make banana silk which is eco friendly and biodegradable,January-December
Anamalu,565,Make jam and sugary products to the local market,January-December
Anamalu,3996,Banana candies,January-December
Anamalu,1375,"Beverage industry - To make milkshakes,smoothies, fruit juices",January-December
Anamalu,698,Make tea bags and filters,January-December
Rath Kesel,641,Bakery industry- Banana breads and banana cakes,January-December
Kandula,3569,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,November-January
Seeni Parakum,1416,make dried and powdered banana peels to use as a supplement in animal feed.,November-January
Kandula,4032,"Beverage industry - To make milkshakes,smoothies, fruit juices",November-January
Kandula,2243,Make single use plastic alternatives,November-January
Ambum,3191,Make banana oils are used in cosmatic industry,January-December
Suwandal,4178,Make organic fertilizers,November-January
Kandula,3317,Banana chips ( both sweetened and unsweetened),January-December
Green Banana,3413,Banana chips ( both sweetened and unsweetened),January-December
Kolikuttu,4180,Make natural remedies,January-December
Puwalu,2589,Textile industry- make banana fibers,January-December
Sini Kesel,4190,"Beverage industry - To make milkshakes,smoothies, fruit juices",January-December
Suwandal,3712,Make jam and sugary products to the local market,November-January
Sini Kesel,416,make banana silk which is eco friendly and biodegradable,January-December
Ambul Nadee,1296,Make tea bags and filters,November-January
Seeni Parakum,383,Banana chips ( both sweetened and unsweetened),January-December
Ambul Nadee,2152,dehydrated banana chips,January-December
Sini Kesel,3994,Textile industry- make banana fibers,January-December
Kolikuttu,4514,Make natural remedies,November-January
Ambum,1098,dehydrated banana chips,November-January
Sini Kesel,3796,make banana silk which is eco friendly and biodegradable,November-January
Anamalu,533,"Skincare industry- Make skincare products ( Lotions, creams and face masks",November-January
Rath Kesel,1274,Textile industry- make banana fibers,November-January
Ambul Nadee,1808,Banana chocolates and sweets,January-December
Kandula,70,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",November-January
Suwandal,706,"Skincare industry- Make skincare products ( Lotions, creams and face masks",November-January
Anamalu,3118,Make jam and sugary products to the local market,January-December
Nethra Palam,4587,Banana chips ( both sweetened and unsweetened),November-January
Kolikuttu,4245,Food industry-desserts varieties,November-January
Ambul Nadee,3385,Make single use plastic alternatives,January-December
Kandula,757,Banana candies,January-December
Kolikuttu,4468,Bakery industry- Banana breads and banana cakes,November-January
Anamalu,3350,Give CBL to make Waffers Biscuits,November-January
Anamalu,289,Banana chocolates and sweets,January-December
Ambum,4703,Make jam and sugary products to the local market,November-January
Kolikuttu,4946,Make jam and sugary products to the local market,November-January
Seeni Parakum,886,Export to USA as fresh banana,November-January
Ambum,3689,Make single use plastic alternatives,November-January
Kolikuttu,2677,Make banana oils are used in cosmatic industry,November-January
Anamalu,2664,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",November-January
Ambum,1395,Banana candies,January-December
Sini Kesel,4552,Banana candies,November-January
Ambul Kesel,1328,Banana flavored craft beers,November-January
Anamalu,908,"Traditional alcoholic beverages- Banana liqueurs, wine",November-January
Kandula,1785,Make natural remedies,January-December
Seeni Parakum,1708,"Skincare industry- Make skincare products ( Lotions, creams and face masks",January-December
Suwandal,1340,Export to USA as fresh banana,January-December
Sini Kesel,2012,Make high quality acid free paper from banana stems and leaves,January-December
Sini Kesel,743,Export to USA as fresh banana,January-December
Ambum,1545,Banana candies,November-January
Green Banana,1135,dehydrated banana chips,January-December
Kandula,4009,dehydrated banana chips,January-December
Ambul Kesel,3267,make dried and powdered banana peels to use as a supplement in animal feed.,November-January
Green Banana,55,Make single use plastic alternatives,January-December
Green Banana,2566,make dried and powdered banana peels to use as a supplement in animal feed.,January-December
Ambum,669,Make tea bags and filters,January-December
Seeni Parakum,394,Make tea bags and filters,January-December
Nethra Palam,1973,Export to USA as fresh banana,November-January
Nethra Palam,799,Brewing and distilling industry- Make banana beer,November-January
Kolikuttu,1232,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,January-December
Anamalu,1213,"Traditional alcoholic beverages- Banana liqueurs, wine",November-January
Puwalu,1529,Make breakfast cereals,November-January
Ambul Kesel,294,Give CBL to make Waffers Biscuits,November-January
Rath Kesel,2601,"Traditional alcoholic beverages- Banana liqueurs, wine",November-January
Sini Kesel,1339,Make high quality acid free paper from banana stems and leaves,January-December
Ambum,2934,Make breakfast cereals,November-January
Puwalu,2553,Bakery industry- Banana breads and banana cakes,January-December
Kolikuttu,1959,dehydrated banana chips,January-December
Green Banana,3037,Make high quality acid free paper from banana stems and leaves,November-January
Ambum,4721,Banana chocolates and sweets,November-January
Anamalu,2081,Bakery industry- Banana breads and banana cakes,January-December
Rath Kesel,2796,Banana chips ( both sweetened and unsweetened),November-January
Suwandal,444,Make banana oils are used in cosmatic industry,January-December
Ambul Kesel,3388,Export to USA as fresh banana,January-December
Ambul Kesel,548,Make jam and sugary products to the local market,November-January
Rath Kesel,1804,Make banana oils are used in cosmatic industry,November-January
Anamalu,595,Make natural remedies,January-December
Puwalu,570,"Beverage industry - To make milkshakes,smoothies, fruit juices",January-December
Green Banana,632,Make jam and sugary products to the local market,November-January
Ambul Kesel,4537,"Traditional alcoholic beverages- Banana liqueurs, wine",November-January
Green Banana,3043,Textile industry- make banana fibers,January-December
Ambul Nadee,3821,Make innorganic fertilizers,November-January
Puwalu,2899,Export to USA as fresh banana,November-January
Suwandal,1476,Make innorganic fertilizers,January-December
Anamalu,4081,Make breakfast cereals,November-January
Rath Kesel,64,Make bioplastics,November-January
Seeni Parakum,319,Food industry-desserts varieties,November-January
Kandula,3142,Export to USA as fresh banana,January-December
Suwandal,3136,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,November-January
Suwandal,1975,Make bioplastics,January-December
Kolikuttu,763,Make organic fertilizers,January-December
Kandula,4443,Banana flavored craft beers,November-January
Kandula,2426,Make single use plastic alternatives,January-December
Nethra Palam,2068,Make bioplastics,January-December
Kolikuttu,647,Brewing and distilling industry- Make banana beer,January-December
Ambum,4866,Make natural remedies,November-January
Ambul Kesel,690,Brewing and distilling industry- Make banana beer,January-December
Suwandal,1807,Make tea bags and filters,November-January
Rath Kesel,1526,Bakery industry- Banana breads and banana cakes,January-December
Puwalu,3854,Make single use plastic alternatives,January-December
Kolikuttu,3928,Banana flavored craft beers,November-January
Ambul Nadee,4438,Banana chips ( both sweetened and unsweetened),January-December
Puwalu,481,dehydrated banana chips,January-December
Seeni Parakum,815,Give CBL to make Waffers Biscuits,January-December
Suwandal,964,Brewing and distilling industry- Make banana beer,November-January
Ambul Nadee,3768,Make single use plastic alternatives,January-December
Puwalu,2583,Brewing and distilling industry- Make banana beer,November-January
Seeni Parakum,4931,Banana chips ( both sweetened and unsweetened),January-December
Kolikuttu,775,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,November-January
Kolikuttu,247,"Traditional alcoholic beverages- Banana liqueurs, wine",November-January
Anamalu,3405,Make natural remedies,November-January
Nethra Palam,3418,Make jam and sugary products to the local market,January-December
Kandula,721,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",January-December
Ambul Nadee,832,Banana chips ( both sweetened and unsweetened),November-January
Ambul Nadee,3219,"Traditional alcoholic beverages- Banana liqueurs, wine",January-December
Green Banana,3823,Banana chocolates and sweets,November-January
Ambul Nadee,3354,"Traditional alcoholic beverages- Banana liqueurs, wine",January-December
Ambul Nadee,885,Banana candies,January-December
Rath Kesel,2235,Give CBL to make Waffers Biscuits,November-January
Rath Kesel,2808,Give CBL to make Waffers Biscuits,November-January
Sini Kesel,932,Make bioplastics,January-December
Kandula,395,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",January-December
Ambul Nadee,4077,Make innorganic fertilizers,January-December
Rath Kesel,708,Make banana oils are used in cosmatic industry,November-January
Kolikuttu,3843,Banana candies,November-January
Sini Kesel,1207,Bakery industry- Banana breads and banana cakes,January-December
Ambum,459,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,November-January
Rath Kesel,2939,"Skincare industry- Make skincare products ( Lotions, creams and face masks",November-January
Suwandal,3262,Export to USA as fresh banana,November-January
Sini Kesel,4862,Banana chocolates and sweets,November-January
Sini Kesel,2054,Make banana oils are used in cosmatic industry,November-January
Ambul Kesel,1027,"Skincare industry- Make skincare products ( Lotions, creams and face masks",November-January
Puwalu,3146,dehydrated banana chips,November-January
Green Banana,2275,Banana candies,January-December
Ambul Nadee,4834,"Beverage industry - To make milkshakes,smoothies, fruit juices",November-January
Nethra Palam,1065,Make high quality acid free paper from banana stems and leaves,November-January
Rath Kesel,3081,Banana chips ( both sweetened and unsweetened),January-December
Anamalu,2716,Make bioplastics,January-December
Kolikuttu,4249,"Traditional alcoholic beverages- Banana liqueurs, wine",November-January
Ambul Nadee,3941,Make natural remedies,January-December
Seeni Parakum,767,Give CBL to make Waffers Biscuits,January-December
Kandula,4140,dehydrated banana chips,January-December
Sini Kesel,2464,Export to USA as fresh banana,November-January
Ambul Nadee,4451,Textile industry- make banana fibers,November-January
Anamalu,1188,Banana chocolates and sweets,January-December
Nethra Palam,2943,"Beverage industry - To make milkshakes,smoothies, fruit juices",January-December
Suwandal,1289,cosmetic industry- Make haircare treatments with banana extracts,January-December
Kolikuttu,1811,Bakery industry- Banana breads and banana cakes,January-December
Rath Kesel,3580,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",January-December
Sini Kesel,2356,Make high quality acid free paper from banana stems and leaves,January-December
Sini Kesel,3427,Make organic fertilizers,January-December
Puwalu,2016,Banana candies,January-December
Rath Kesel,1450,Bakery industry- Banana breads and banana cakes,January-December
Green Banana,3239,Make bioplastics,November-January
Ambul Kesel,1094,Make organic fertilizers,January-December
Kolikuttu,718,Make banana oils are used in cosmatic industry,January-December
Ambum,215,Make breakfast cereals,November-January
Puwalu,1915,Make tea bags and filters,November-January
Ambum,2163,dehydrated banana chips,January-December
Rath Kesel,706,Make breakfast cereals,November-January
Rath Kesel,1540,Make natural remedies,November-January
Ambul Kesel,3076,make banana silk which is eco friendly and biodegradable,January-December
Suwandal,1131,Banana flavored craft beers,January-December
Puwalu,901,Make single use plastic alternatives,November-January
Puwalu,1291,Give CBL to make Waffers Biscuits,November-January
Ambul Nadee,3582,"Skincare industry- Make skincare products ( Lotions, creams and face masks",January-December
Puwalu,2178,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",November-January
Sini Kesel,1820,Banana flavored craft beers,January-December
Suwandal,3028,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,November-January
Puwalu,4474,Make high quality acid free paper from banana stems and leaves,January-December
Puwalu,3715,Make jam and sugary products to the local market,January-December
Puwalu,3266,Banana chips ( both sweetened and unsweetened),January-December
Kolikuttu,381,Export to USA as fresh banana,January-December
Nethra Palam,2723,Make organic fertilizers,November-January
Seeni Parakum,4542,Make bioplastics,January-December
Rath Kesel,2450,Make high quality acid free paper from banana stems and leaves,November-January
Kolikuttu,131,Banana candies,January-December
Ambum,3276,Make organic fertilizers,January-December
Rath Kesel,3401,Banana candies,November-January
Kandula,2540,Food industry-desserts varieties,January-December
Ambul Kesel,276,Make bioplastics,January-December
Sini Kesel,4175,Textile industry- make banana fibers,November-January
Seeni Parakum,719,Make jam and sugary products to the local market,November-January
Anamalu,1242,Banana candies,January-December
Nethra Palam,4999,"Beverage industry - To make milkshakes,smoothies, fruit juices",November-January
Kandula,4573,Make tea bags and filters,January-December
Sini Kesel,407,Banana chocolates and sweets,November-January
Rath Kesel,2940,Bakery industry- Banana breads and banana cakes,November-January
Ambul Kesel,1579,"Traditional alcoholic beverages- Banana liqueurs, wine",January-December
Ambul Kesel,755,make banana silk which is eco friendly and biodegradable,January-December
Kandula,740,"Skincare industry- Make skincare products ( Lotions, creams and face masks",November-January
Puwalu,2076,Make organic fertilizers,November-January
Rath Kesel,1224,Make natural remedies,November-January
Sini Kesel,4688,Banana flavored craft beers,January-December
Puwalu,4251,Make banana oils are used in cosmatic industry,January-December
Kandula,4032,Give CBL to make Waffers Biscuits,January-December
Ambul Nadee,1028,Banana flavored craft beers,November-January
Nethra Palam,2666,Make organic fertilizers,January-December
Suwandal,414,Make banana oils are used in cosmatic industry,November-January
Kolikuttu,1210,Make innorganic fertilizers,January-December
Puwalu,1811,make dried and powdered banana peels to use as a supplement in animal feed.,January-December
Suwandal,3176,Make banana oils are used in cosmatic industry,November-January
Kandula,2659,Make single use plastic alternatives,November-January
Green Banana,1134,"Traditional alcoholic beverages- Banana liqueurs, wine",January-December
Sini Kesel,1078,"Traditional alcoholic beverages- Banana liqueurs, wine",November-January
Green Banana,3249,Make banana oils are used in cosmatic industry,November-January
Ambum,4656,"Traditional alcoholic beverages- Banana liqueurs, wine",November-January
Anamalu,449,Make single use plastic alternatives,January-December
Nethra Palam,3333,Make bioplastics,January-December
Sini Kesel,2407,Make tea bags and filters,January-December
Suwandal,2704,Brewing and distilling industry- Make banana beer,January-December
Ambum,4335,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",November-January
Suwandal,1572,Banana chips ( both sweetened and unsweetened),November-January
Sini Kesel,2339,Make natural remedies,November-January
Kandula,1023,Textile industry- make banana fibers,January-December
Anamalu,1560,make banana silk which is eco friendly and biodegradable,November-January
Nethra Palam,2858,Brewing and distilling industry- Make banana beer,November-January
Kandula,823,cosmetic industry- Make haircare treatments with banana extracts,January-December
Kandula,572,Banana chocolates and sweets,November-January
Green Banana,725,Food industry-desserts varieties,November-January
Sini Kesel,1038,Make jam and sugary products to the local market,November-January
Suwandal,824,cosmetic industry- Make haircare treatments with banana extracts,January-December
Rath Kesel,2919,Give CBL to make Waffers Biscuits,January-December
Anamalu,2507,Bakery industry- Banana breads and banana cakes,November-January
Ambum,4019,cosmetic industry- Make haircare treatments with banana extracts,January-December
Green Banana,1992,Make high quality acid free paper from banana stems and leaves,January-December
Ambul Kesel,4916,Make natural remedies,January-December
Ambul Nadee,3697,Food industry-desserts varieties,January-December
Kandula,2634,Make high quality acid free paper from banana stems and leaves,January-December
Ambul Nadee,3147,"Skincare industry- Make skincare products ( Lotions, creams and face masks",November-January
Kandula,1821,Make natural remedies,November-January
Green Banana,2482,Brewing and distilling industry- Make banana beer,January-December
Rath Kesel,573,Make organic fertilizers,January-December
Puwalu,3728,"Traditional alcoholic beverages- Banana liqueurs, wine",January-December
Suwandal,3108,Make banana oils are used in cosmatic industry,January-December
Green Banana,1319,make banana silk which is eco friendly and biodegradable,January-December
Nethra Palam,3406,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,January-December
Kandula,122,Make bioplastics,November-January
Suwandal,2187,Textile industry- make banana fibers,November-January
Ambum,497,Bakery industry- Banana breads and banana cakes,November-January
Seeni Parakum,1907,make dried and powdered banana peels to use as a supplement in animal feed.,November-January
Suwandal,1092,Banana candies,January-December
Puwalu,2270,Banana flavored craft beers,November-January
Nethra Palam,2431,Make innorganic fertilizers,November-January
Anamalu,3714,Make natural remedies,January-December
Seeni Parakum,2869,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",November-January
Seeni Parakum,3263,Food industry-desserts varieties,January-December
Anamalu,3359,Make jam and sugary products to the local market,January-December
Suwandal,1103,dehydrated banana chips,November-January
Kandula,2445,Make natural remedies,January-December
Sini Kesel,4986,Banana flavored craft beers,November-January
Sini Kesel,4677,"Skincare industry- Make skincare products ( Lotions, creams and face masks",January-December
Rath Kesel,1301,Make innorganic fertilizers,January-December
Anamalu,3813,dehydrated banana chips,January-December
Sini Kesel,728,make dried and powdered banana peels to use as a supplement in animal feed.,January-December
Anamalu,91,"Beverage industry - To make milkshakes,smoothies, fruit juices",January-December
Anamalu,3887,Food industry-desserts varieties,November-January
Puwalu,3348,Make high quality acid free paper from banana stems and leaves,November-January
Ambul Kesel,4421,Make natural remedies,November-January
Ambul Kesel,164,Make tea bags and filters,November-January
Nethra Palam,794,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",November-January
Kolikuttu,4212,cosmetic industry- Make haircare treatments with banana extracts,January-December
Seeni Parakum,1404,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",January-December
Suwandal,1930,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",November-January
Sini Kesel,1564,make banana silk which is eco friendly and biodegradable,November-January
Ambul Kesel,1267,Textile industry- make banana fibers,January-December
Nethra Palam,2000,Banana chips ( both sweetened and unsweetened),November-January
Ambum,1757,Make single use plastic alternatives,November-January
Rath Kesel,3082,Make banana oils are used in cosmatic industry,January-December
Ambul Nadee,2291,Make high quality acid free paper from banana stems and leaves,November-January
Anamalu,1429,Textile industry- make banana fibers,January-December
Kandula,1530,Export to USA as fresh banana,November-January
Kandula,847,Food industry-desserts varieties,January-December
Green Banana,3721,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",January-December
Seeni Parakum,1435,Make innorganic fertilizers,November-January
Suwandal,1760,Make jam and sugary products to the local market,January-December
Suwandal,4252,Make breakfast cereals,January-December
Ambum,4877,Make tea bags and filters,January-December
Suwandal,1026,Make high quality acid free paper from banana stems and leaves,November-January
